Date,co2_eua,gas_ttf
2023-01-02,0.6399999856948853,
2023-01-03,0.6399999856948853,72.31400299072266
2023-01-04,0.6399999856948853,65.02200317382812
2023-01-05,0.6399999856948853,72.4219970703125
2023-01-06,0.6399999856948853,69.53399658203125
2023-01-09,0.6399999856948853,74.302001953125
2023-01-10,0.6399999856948853,70.07099914550781
2023-01-11,0.6399999856948853,65.34600067138672
2023-01-12,0.6399999856948853,66.80899810791016
2023-01-13,0.6399999856948853,64.81199645996094
2023-01-16,0.6399999856948853,64.81199645996094
2023-01-17,0.6399999856948853,60.06100082397461
2023-01-18,0.6399999856948853,61.70899963378906
2023-01-19,0.6399999856948853,60.71699905395508
2023-01-20,0.6399999856948853,66.89800262451172
2023-01-23,0.6399999856948853,65.9990005493164
2023-01-24,0.6399999856948853,58.26900100708008
2023-01-25,0.6399999856948853,56.65999984741211
2023-01-26,0.6399999856948853,54.814998626708984
2023-01-27,0.6399999856948853,55.42499923706055
2023-01-30,0.6399999856948853,55.15599822998047
2023-01-31,0.6399999856948853,57.35200119018555
2023-02-01,0.6399999856948853,59.527000427246094
2023-02-02,0.6399999856948853,57.040000915527344
2023-02-03,0.6399999856948853,57.888999938964844
2023-02-06,0.6399999856948853,58.10900115966797
2023-02-07,0.6399999856948853,55.40299987792969
2023-02-08,0.6399999856948853,53.6870002746582
2023-02-09,0.6399999856948853,52.73400115966797
2023-02-10,0.6399999856948853,53.946998596191406
2023-02-13,0.6399999856948853,51.707000732421875
2023-02-14,0.6399999856948853,52.38600158691406
2023-02-15,0.6399999856948853,54.715999603271484
2023-02-16,0.6399999856948853,52.01100158691406
2023-02-17,0.6399999856948853,49.047000885009766
2023-02-20,0.7400000095367432,49.047000885009766
2023-02-21,0.7400000095367432,48.54199981689453
2023-02-22,0.7400000095367432,50.56800079345703
2023-02-23,0.7400000095367432,50.779998779296875
2023-02-24,0.7400000095367432,51.01300048828125
2023-02-27,0.7400000095367432,47.29899978637695
2023-02-28,0.7400000095367432,46.665000915527344
2023-03-01,0.7400000095367432,47.08399963378906
2023-03-02,0.7400000095367432,46.814998626708984
2023-03-03,0.7400000095367432,44.97999954223633
2023-03-06,0.7400000095367432,42.14899826049805
2023-03-07,0.7400000095367432,43.369998931884766
2023-03-08,0.7400000095367432,42.3390007019043
2023-03-09,0.7400000095367432,43.5989990234375
2023-03-10,0.7400000095367432,52.856998443603516
2023-03-13,0.7400000095367432,49.58399963378906
2023-03-14,0.7400000095367432,44.185001373291016
2023-03-15,0.7400000095367432,42.904998779296875
2023-03-16,0.7400000095367432,44.340999603271484
2023-03-17,0.7400000095367432,42.856998443603516
2023-03-20,0.7400000095367432,39.32500076293945
2023-03-21,0.7400000095367432,42.400001525878906
2023-03-22,0.7400000095367432,39.974998474121094
2023-03-23,0.7400000095367432,43.18600082397461
2023-03-24,0.7400000095367432,41.09400177001953
2023-03-27,0.7400000095367432,42.52799987792969
2023-03-28,0.6000000238418579,42.75199890136719
2023-03-29,0.6000000238418579,42.803001403808594
2023-03-30,0.6000000238418579,43.60900115966797
2023-03-31,0.6000000238418579,47.845001220703125
2023-04-03,0.6000000238418579,51.367000579833984
2023-04-04,0.6000000238418579,46.56800079345703
2023-04-05,0.6000000238418579,44.57500076293945
2023-04-06,0.6000000238418579,43.125
2023-04-10,0.6000000238418579,43.125
2023-04-11,0.6000000238418579,43.69200134277344
2023-04-12,0.6000000238418579,42.880001068115234
2023-04-13,0.6000000238418579,42.09299850463867
2023-04-14,0.6000000238418579,41.14899826049805
2023-04-17,0.6000000238418579,41.12699890136719
2023-04-18,0.6000000238418579,42.72200012207031
2023-04-19,0.6000000238418579,40.29800033569336
2023-04-20,0.6000000238418579,40.564998626708984
2023-04-21,0.6000000238418579,40.16400146484375
2023-04-24,0.6000000238418579,39.92499923706055
2023-04-25,0.6000000238418579,39.83300018310547
2023-04-26,0.6000000238418579,38.55099868774414
2023-04-27,0.6000000238418579,39.03900146484375
2023-04-28,0.6000000238418579,38.53799819946289
2023-05-01,0.6000000238418579,38.83399963378906
2023-05-02,0.6000000238418579,37.52899932861328
2023-05-03,0.6000000238418579,36.78200149536133
2023-05-04,0.6000000238418579,35.65299987792969
2023-05-05,0.6000000238418579,36.57400131225586
2023-05-08,0.6000000238418579,36.874000549316406
2023-05-09,0.6000000238418579,35.95000076293945
2023-05-10,0.6000000238418579,34.99300003051758
2023-05-11,0.6000000238418579,34.99300003051758
2023-05-12,0.6000000238418579,32.766998291015625
2023-05-15,0.6000000238418579,32.31399917602539
2023-05-16,0.6000000238418579,31.820999145507812
2023-05-17,0.6000000238418579,31.952999114990234
2023-05-18,0.6000000238418579,29.78499984741211
2023-05-19,0.6000000238418579,30.176000595092773
2023-05-22,0.6000000238418579,29.711000442504883
2023-05-23,0.6000000238418579,29.12700080871582
2023-05-24,0.6000000238418579,27.78499984741211
2023-05-25,0.6000000238418579,25.45199966430664
